,section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,87Sr/86Sr_filtered,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca,age
358,G12,G12-1062.9,Little Dal,1062.9,1344.1,5.6,-6.69,,,,,,,,,,,,812.4789439931591
359,G12,G12-1066.2,Little Dal,1066.2,1347.4,5.68,-6.36,,,,,,,,,,,,812.3131680205212
360,G12,G12-1068.4,Little Dal,1068.4,1349.6,5.88,-5.97,,,,,,,,,,,,812.2026507054293
361,G12,G12-1071.7,Little Dal,1071.7,1352.9,5.62,-5.69,0.70803,,26.18,64.26,2081.85,135807.96,251142.35,61.24,753.84,1.67,0.89,812.0368747327914
362,G12,G12-1080.6,Little Dal,1080.6,1361.8,7.37,-5.15,,,,,,,,,,,,811.5897819581013
363,G12,G12-1084.4,Little Dal,1084.4,1365.6,7.11,-5.67,,,,,,,,,,,,811.3988884138516
364,G12,G12-1088.3,Little Dal,1088.3,1369.5,6.92,-5.62,,,,,,,,,,,,811.2029713552796
365,G12,G12-1090.3,Little Dal,1090.3,1371.5,6.05,-4.56,,,,,,,,,,,,811.1025010688325
366,G12,G12-1093.0,Little Dal,1093,1374.2,7.42,-4.48,,,,,,,,,,,,810.9668661821287
367,G12,G12-1097.4,Little Dal,1097.4,1378.6,6.48,-5.82,,,,,,,,,,,,810.7458315519449
368,G12,G12-1102.6,Little Dal,1102.6,1383.8,6.51,-4.76,,,,,,,,,,,,810.4846088071822
369,G12,G12-1106.9,Little Dal,1106.9,1388.1,6.7,-5.83,,,,,,,,,,,,810.2685976913207
370,G12,G12-1110.4,Little Dal,1110.4,1391.6,6.21,-4.78,,,,,,,,,,,,810.092774690038
371,G12,G12-1122.2,Little Dal,1122.2,1403.4,4.72,-3.7,,,,,,,,,,,,809.5
372,G12,G12-1127.6,Little Dal,1127.6,1408.8,-0.36,-5.12,,,,,,,,,,,,809.0170468187275
373,G12,G12-1131.5,Little Dal,1131.5,1412.7,-0.85,-6.84,,,,,,,,,,,,808.6682472989196
374,G12,G12-1134.0,Little Dal,1134,1415.2,-0.3,-6.32,,,,,,,,,,,,808.4446578631453
375,G12,G12-1141.0,Little Dal,1141,1422.2,-0.45,-7.29,,,,,,,,,,,,807.8186074429772
376,G12,G12-1145.3,Little Dal,1145.3,1426.5,-1.07,-6.87,,,,,,,,,,,,807.4340336134453
377,G12,G12-1149.1,Little Dal,1149.1,1430.3,-1.6,-7.1,,,,,,,,,,,,807.0941776710683
378,G12,G12-1152.6,Little Dal,1152.6,1433.8,-2.18,-6.05,,,,,,,,,,,,806.7811524609843
379,G12,G12-1158.0,Little Dal,1158,1439.2,-2.1,-5.98,,,,,,,,,,,,806.2981992797119
380,G12,G12-1161.8,Little Dal,1161.8,1443.0,-2.22,-5.42,,,,,,,,,,,,805.9583433373349
381,G12,G12-1165.0,Little Dal,1165,1446.2,-1.77,-5.81,,,,,,,,,,,,805.6721488595438
382,G12,G12-1169.1,Little Dal,1169.1,1450.3,-2.3,-5.69,,,,,,,,,,,,805.3054621848739
383,G12,G12-1171.6,Little Dal,1171.6,1452.8,-2.14,-5.45,,,,,,,,,,,,805.0818727490996
384,G12,G12-1176.0,Little Dal,1176,1457.2,-2.6,-5.58,,,,,,,,,,,,804.6883553421368
385,G12,G12-1179.6,Little Dal,1179.6,1460.8,-1.49,-5.47,0.7085199999999999,,24.18,45.96,1728.26,137567.75,246716.94,36.9,542.51,1.99,0.92,804.3663865546218
386,G12,G12-1185.3,Little Dal,1185.3,1466.5,-1.54,-5.57,,,,,,,,,,,,803.8566026410564
387,G12,G12-1188.2,Little Dal,1188.2,1469.4,-1.77,-5.47,,,,,,,,,,,,803.5972388955581
