section,strat_height,d13C,d18O,strat_m,note
T22,656.5,,,2736.5,
T22,669.3,,,2749.3,
T22,672.3,0.44,-4.13,2752.3,
T22,674.8,0.54,-4.46,2754.8,
T22,678.2,1.2,-4.04,2758.2,
T22,682.7,0.51,-4.19,2762.7,
T22,685,1.63,-4.15,2765,
T22,687.5,1.89,-3.86,2767.5,
T22,690.6,,,2770.6,
T22,695.2,0.95,-4.14,2775.2,
T22,700.3,,,2780.3,
T22,702.3,,,2782.3,
T22,709.2,,,2789.2,
T22,710.2,1.88,-3.67,2790.2,
T22,712.4,,,2792.4,
T22,715.5,1.14,-3.93,2795.5,
T22,718.5,1.12,-5.18,2798.5,
T22,721.1,0.73,-5.74,2801.1,
T22,723.2,0.77,-4.24,2803.2,
T22,727.4,,,2807.4,
T22,728.2,,,2808.2,
T22,730.1,1.81,-3.73,2810.1,
T22,732.8,,,2812.8,
T22,735,2.07,-3.23,2815,
T22,737.7,1.25,-3.96,2817.7,
T22,743.6,,,2823.6,
T22,745.6,1.88,-3.28,2825.6,
T22,747.4,,,2827.4,
T22,749.2,,,2829.2,
T22,751.6,,,2831.6,
T22,756.7,2.18,-2.11,2836.7,
T22,757.3,,,2837.3,
T22,760.4,2.24,-4.19,2840.4,
T22,765.6,1.4,-3.11,2845.6,
T22,768.6,1.47,-3.78,2848.6,
T22,770.5,,,2850.5,
T22,773.3,1.27,-2.67,2853.3,
T22,774.3,1.61,-3.41,2854.3,
T22,775.9,1.78,-2.3,2855.9,
T22,777.9,1.79,-2.85,2857.9,
T22,779.2,2.42,-3.33,2859.2,
T22,781.6,2.66,-4.07,2861.6,
T22,783.8,,,2863.8,
T22,786.7,3.02,-4.63,2866.7,
T22,793.8,1.34,-2.58,2873.8,
T22,795.3,1.77,-2.18,2875.3,
T22,798.4,0.98,-4.66,2878.4,
T22,799.6,0.63,-5.07,2879.6,
T22,811.9,-0.08,-5.5,2891.9,
T22,813.8,0.12,-5.1,2893.8,
T22,816.7,-0.44,-4.97,2896.7,
T22,819,-0.76,-5.48,2899,
T22,821.8,0.06,-6.87,2901.8,
T22,822.8,,,2902.8,
T22,824.8,0.46,-4.52,2904.8,
T22,856.9,0.26,-4.98,2936.9,
T22,932.5,,,3012.5,
T22,934.5,0.43,-4.41,3014.5,
T22,936.5,,,3016.5,
T22,939,0.64,-4.04,3019,
T22,953.3,-0.09,-5.91,3033.3,
T22,987.9,3.05,-3.67,3067.9,
T22,999.8,3.17,-2.39,3079.8,
T22,1001.8,,,3081.8,
T22,1002.8,1.67,-4.41,3082.8,
T22,1004.3,0.54,-3.6,3084.3,
T22,1005.2,1.35,-3.78,3085.2,
T22,1007.8,-0.08,-3.96,3087.8,
T22,1010,0.35,-6.12,3090,
T22,1011.4,-2.38,-7.49,3091.4,
T22,1021,-2.39,-5.88,3101,
T22,1063.8,-2.55,-5.83,3143.8,
T22,1072.3,-2.48,-7.02,3152.3,
T22,1084.4,-2.32,-5.36,3164.4,
T22,1087.3,-2.13,-6.84,3167.3,
T22,1088.5,-2.09,-4.27,3168.5,
T22,1089.5,-1.46,-4.93,3169.5,
T22,1090.5,-2.01,-6.56,3170.5,
T22,1096.3,-1.26,-5.77,3176.3,
T22,1097.1,-1.54,-5.3,3177.1,
T22,1101.7,-1.82,-5.89,3181.7,
T22,1102.6,-1.28,-1.45,3182.6,
T22,1103.9,-1.57,-5.14,3183.9,
T22,1106.7,-1.75,-4.24,3186.7,
T22,1108.1,-1.83,-4.36,3188.1,
T22,1109,,,3189,
T22,1112.7,-1.63,-6.21,3192.7,
T22,1115.8,-1.02,-6.54,3195.8,
T22,1119.5,0.34,-4.4,3199.5,
T22,1123.1,0.5,-4.75,3203.1,
T22,1125.8,2.03,-3.58,3205.8,
T22,1129.1,2.33,-3.97,3209.1,
T22,1132.6,1.96,-4.96,3212.6,
T22,1134.8,2.06,-2.71,3214.8,
T22,1137.1,,,3217.1,
T22,1140.7,2.92,-3.89,3220.7,
T22,1142.3,2.86,-4.37,3222.3,
T22,1145.6,1.76,-4.03,3225.6,
T22,1147,2.15,-3.47,3227,
T22,1150.1,,,3230.1,
T22,1155.8,,,3235.8,
T22,1158.9,2.9,-3.57,3238.9,
T22,1159.6,,,3239.6,
T22,1161.7,2.52,-4.2,3241.7,
T22,1176.7,1.38,-3.73,3256.7,
T22,1179.7,,,3259.7,
T22,1182.6,,,3262.6,
T22,1184.2,1.74,-3.05,3264.2,
T22,1185.7,,,3265.7,
T22,1187,,,3267,
T22,1188.1,3.19,-3.55,3268.1,
T22,1189,,,3269,
T22,1193.7,,,3273.7,
T22,1197.8,3.03,-3.03,3277.8,
T22,1200.1,,,3280.1,
T22,1203.5,,,3283.5,
T22,1205.3,2.52,-3.36,3285.3,
T22,1206.7,,,3286.7,
T22,1212.3,,,3292.3,
T22,1214.2,,,3294.2,
T22,1221.3,2.21,-5.39,3301.3,
T22,1227.6,,,3307.6,
T23,0.3,2.47,-4.74,3310.3,
T23,4.3,1.8,-5.94,3314.3,
T23,6.2,1.33,-5.58,3316.2,
T23,9,2.41,-8.51,3319,
T23,12.9,2.19,-6.65,3322.9,
T22,1245,,,3325,
T23,15.8,2.19,-4.11,3325.8,
T22,1246.8,2.87,-3.37,3326.8,
T23,18.8,2.77,-4.35,3328.8,
T22,1251,,,3331,
T22,1253.7,,,3333.7,
T23,25.1,1.58,-4.97,3335.1,
T22,1257.7,2.41,-3.32,3337.7,
T23,30.2,1.27,-4.66,3340.2,
T22,1261.6,,,3341.6,
T23,31.7,1.56,-4.32,3341.7,
T22,1262.8,,,3342.8,
T22,1264.3,,,3344.3,
T23,34.7,1.57,-4.85,3344.7,
T23,37.8,1.74,-4.15,3347.8,
T23,39.7,1.59,-4.22,3349.7,
T23,43.4,2.2,-4.18,3353.4,
T23,44.5,2.04,-3.79,3354.5,
T23,47.3,1.6,-3.57,3357.3,
T23,49.5,2.29,-7.89,3359.5,
T23,51.5,2,-7.15,3361.5,
T23,53.3,1.55,-5.32,3363.3,
T23,54.4,1.81,-5.23,3364.4,
T22,1288.6,2.31,-3.33,3368.6,
T23,60.1,0.55,-2.7,3370.1,
T22,1291.9,,,3371.9,
T23,62.2,1.97,-4.56,3372.2,
T22,1295.3,,,3375.3,
T23,72,2.6,-2.7,3382,
T22,1303.6,2.06,-4.07,3383.6,
T22,1304.7,,,3384.7,
T23,75.5,2,-3.33,3385.5,
T23,77.5,2.86,-3.41,3387.5,
T23,79.7,1.41,-4.03,3389.7,
T23,81.7,2.22,-4.13,3391.7,
T23,82.9,2.6,-10.29,3392.9,
T22,1313.7,,,3393.7,
T22,1315.8,1.91,-2.62,3395.8,
T22,1319.5,,,3399.5,
T22,1320.9,,,3400.9,
T22,1321.5,1.7,-2.26,3401.5,
T22,1324.4,,,3404.4,
T22,1329,,,3409,
T23,99.4,3.28,-5.52,3409.4,
T22,1332.7,2.48,-4.1,3412.7,
T23,105.9,2.25,-6.34,3415.9,
T22,1336.1,,,3416.1,
T22,1338.7,,,3418.7,
T22,1340.3,2.11,-3.8,3420.3,
T22,1342.1,,,3422.1,
T23,112.9,2.64,-4.7,3422.9,
T23,116.7,1.87,-7.27,3426.7,
T22,1348.2,,,3428.2,
T23,119.2,2.58,-8.77,3429.2,
T22,1350.1,2.48,-4.32,3430.1,
T22,1353.1,,,3433.1,
T23,123.4,2.54,-5.2,3433.4,
T22,1354.2,,,3434.2,
T23,125.5,2.89,-5.86,3435.5,
T22,1358.2,2.95,-4.68,3438.2,
T22,1361.1,,,3441.1,
T22,1364.6,,,3444.6,
T22,1365.9,2.61,-3.98,3445.9,
T22,1371.2,,,3451.2,
T23,142.5,2.22,-5.41,3452.5,
T23,144.9,2.74,-5.75,3454.9,
T22,1375,,,3455,
T23,152.2,2.53,-4.72,3462.2,
T22,1382.4,2.73,-9.27,3462.4,
T22,1388.9,,,3468.9,
T23,159.3,1.97,-4.58,3469.3,
T22,1390.3,,,3470.3,
T23,166.4,2.3,-8.6,3476.4,
T22,1397.6,2.52,-3.04,3477.6,
T23,168.7,2.34,-5.34,3478.7,
T22,1401.7,,,3481.7,
T23,171.8,2.66,-7.03,3481.8,
T22,1407.6,,,3487.6,
T22,1409.3,,,3489.3,
T22,1412.8,,,3492.8,
T22,1418,,,3498,
T23,191.5,2.42,-6.49,3501.5,
T22,1421.7,,,3501.7,
T23,194.3,2.15,-9.22,3504.3,
T22,1424.6,,,3504.6,
T22,1425.7,,,3505.7,
T22,1427.9,,,3507.9,
T23,199.5,3.08,-10.56,3509.5,
T22,1429.9,,,3509.9,
T22,1431.2,,,3511.2,
T22,1432.3,,,3512.3,
T23,203,2.88,-10.3,3513,
T22,1434.5,,,3514.5,
T22,1435.9,,,3515.9,
T22,1437.9,,,3517.9,
T23,209.5,3.14,-10.36,3519.5,
T22,1440.4,,,3520.4,
T23,212.1,2.75,-5.22,3522.1,
T23,215.6,3.33,-9.54,3525.6,
T23,220.4,2.8,-10.52,3530.4,
T23,222.2,2.92,-11.11,3532.2,
T23,230.6,2.62,-10.07,3540.6,
T23,233.4,2.44,-10.35,3543.4,
T23,237.3,2.33,-9.23,3547.3,
T23,242.3,2.56,-6.06,3552.3,
T23,244.8,2.3,-6.26,3554.8,
T23,248.6,3.22,-5.66,3558.6,
T23,250.3,3.63,-6.62,3560.3,
T22,1486.3,,,3566.3,
T22,1489,2.73,-5.31,3569,
T22,1497.1,,,3577.1,
T23,268.9,3.39,-5.94,3578.9,
T23,273.2,3.28,-5.7,3583.2,
T23,275.3,2.98,-4.95,3585.3,
T23,280.6,2.55,-5.24,3590.6,
T23,282.9,2.84,-5.31,3592.9,
T22,1514.4,,,3594.4,
T23,286.1,3.26,-6.28,3596.1,
T23,290.9,4.41,-8.93,3600.9,
T23,292,3.94,-8.9,3602,
T23,295.6,3.68,-6.26,3605.6,
T23,297.5,3.99,-8.53,3607.5,
T23,302.4,3.14,-5.64,3612.4,
T23,305.2,2.3,-4.6,3615.2,
T23,307.2,2.37,-5.02,3617.2,
T23,309.4,2.28,-5.33,3619.4,
T23,310.9,1.91,-4.59,3620.9,
T22,1541.4,-0.02,-7.81,3621.4,
T23,313.3,2.23,-5.51,3623.3,
T23,341.6,1.07,-10.32,3651.6,
T23,351.4,1.14,-6.09,3661.4,
T23,354.5,0.09,-5.23,3664.5,
T23,362.3,0.22,-6.9,3672.3,
T23,363.2,-0.89,-7.69,3673.2,
T23,382.4,-1.36,-5.68,3692.4,
T23,390.4,0.74,-5.65,3700.4,
T23,395.2,-0.21,-4.06,3705.2,
T23,398.8,0.93,-3.18,3708.8,
T23,409.4,1.45,-3.59,3719.4,
T23,411.6,0.95,-3.8,3721.6,
T23,412.4,0.78,-4.53,3722.4,
T23,415.3,-0.08,-4.78,3725.3,
T23,422.4,-0.36,-1.36,3732.4,
T23,426.8,0.43,-3.99,3736.8,
T23,436.9,-1.86,-7.7,3746.9,
T23,438.5,-0.68,-8.33,3748.5,
T23,440.8,-0.19,-5.93,3750.8,
T23,442.8,0.31,-5.31,3752.8,
T23,443.2,-1.26,-6.97,3753.2,
T23,454.4,-4.47,-5.41,3764.4,
T23,455.8,-1.81,-2.67,3765.8,
T23,458.4,-1.48,-3.02,3768.4,
T23,461.5,,,3771.5,
T23,482.6,,,3792.6,
T23,490.7,-11.12,-6.35,3800.7,
T23,492,-10.81,-6.3,3802,
T23,493.4,-5.99,-5.18,3803.4,
T23,514.1,5.18,-3.66,3824.1,
T23,516.1,3.7,-4.87,3826.1,
T23,518,3.33,-4.42,3828,
T23,520.5,4.52,-5.04,3830.5,
T23,523.6,5.05,-3.93,3833.6,
T23,526.1,6.22,-2.99,3836.1,
T23,526.4,4.51,-6.87,3836.4,
T23,527.8,6.14,-4.63,3837.8,
T23,530.3,5.31,-4.66,3840.3,
T23,533.4,5.51,-3.87,3843.4,
T23,535.9,5.73,-4.38,3845.9,
T23,539,4.23,-4.15,3849,
T23,542.3,5.16,-2.76,3852.3,
T23,544.2,5.52,-3.61,3854.2,
T23,544.7,5.4,-3.29,3854.7,
T23,546.5,5.85,-3.19,3856.5,
T23,548.3,,,3858.3,
T23,549.7,5.01,-4.85,3859.7,
T23,551.6,6.17,-3.53,3861.6,
T23,554.8,4.43,-3.28,3864.8,
T23,557.5,6.22,-2.83,3867.5,
T23,559.2,5.89,-3.28,3869.2,
T23,561.6,6.03,-3.77,3871.6,
T23,563.6,3.96,-4.43,3873.6,
T23,569.1,6.08,-6.85,3879.1,
T23,572,4.47,-7.01,3882,
T23,574,5.8,-7.37,3884,
T23,576.6,5.43,-3.52,3886.6,
T23,579.1,4.29,-4.05,3889.1,
T23,580.6,5.79,-2.79,3890.6,
T23,583,6.95,-3.88,3893,
T23,584.4,5.53,-5.1,3894.4,
T23,586.4,6.22,-4.35,3896.4,
T23,586.9,5.81,-2.81,3896.9,
T23,589,4.94,-3.07,3899,
T23,592,4.87,-2.88,3902,
T23,593.9,5.45,-3.45,3903.9,
T23,596,4.56,-3.84,3906,
T23,600.1,5.39,-2.15,3910.1,
T23,601.3,4.75,-2.6,3911.3,
T23,603.1,4.78,-3.05,3913.1,
T23,605.2,4.44,-3.83,3915.2,
T23,607.9,6.22,-4.35,3917.9,
T23,609,6.04,-2.83,3919,
T23,611.6,5.03,-2.23,3921.6,
T23,614.9,5.39,-4.52,3924.9,
T23,616.3,4.12,-3.13,3926.3,
T23,616.6,4.1,-4.77,3926.6,
T23,620,5.81,-4.72,3930,
T23,622.9,5.21,-1.95,3932.9,
T23,625.5,5.69,-5.27,3935.5,
T23,626.7,4.71,-2.8,3936.7,
T23,629.4,4.96,-2.48,3939.4,
T23,631.7,5.8,-5.1,3941.7,
T23,634.5,,,3944.5,
T23,635.3,6.08,-3.93,3945.3,
T23,637.4,5.29,-4.61,3947.4,
T23,638.7,6.27,-5.29,3948.7,
T23,641.3,5.49,-2.34,3951.3,
T23,643.4,6.1,-2.61,3953.4,
T23,645.2,5.99,-2.43,3955.2,
T23,647.8,4.48,-3.46,3957.8,
T23,653.4,5.12,-3,3963.4,
T23,656.8,5.11,-2.9,3966.8,
T23,658.8,6.21,-4.89,3968.8,
T23,659.8,5.93,-3.11,3969.8,
T23,660.5,5.36,-2.77,3970.5,
T23,662.4,6.08,-4.76,3972.4,
T23,663.1,6.36,-5.03,3973.1,
T23,667.3,6.52,-4.87,3977.3,
T23,671,6.3,-5.19,3981,
T23,672.5,5.73,-5.27,3982.5,
T23,674.4,5.35,-5.59,3984.4,
T23,677,6.24,-5.17,3987,
T23,679,5.47,-5.51,3989,
T23,682.7,5.67,-6.11,3992.7,
T23,685.5,4.46,-6.36,3995.5,
T23,687.1,2.06,-10.9,3997.1,
T23,688.2,1.61,-10.64,3998.2,
T23,690.4,1.15,-10.55,4000.4,
T23,697.3,1.42,-11.03,4007.3,
T23,698.6,5.78,-6.31,4008.6,
T23,699.2,-1.69,-9.47,4009.2,
T23,709.1,1.78,-6.13,4019.1,
T23,714.3,,,4024.3,
T23,716.8,2.77,-9.89,4026.8,
T23,718.6,,,4028.6,
T23,723,3.81,-10.63,4033,
T23,724.6,4.96,-9.43,4034.6,
T23,728.3,5.19,-10.73,4038.3,
T23,730.9,1.3,-1.49,4040.9,
T23,733.9,2.14,-9.37,4043.9,
T23,735.6,2.82,-10.75,4045.6,
T23,737.2,2.45,-10.24,4047.2,
T23,738.5,2.52,-7.39,4048.5,
T23,745,-0.32,-10.36,4055,
T23,769.8,-1.71,-4.78,4079.8,
T23,774.6,,,4084.6,
T23,779.1,0.12,-3.16,4089.1,
T23,782.4,-0.71,-6.16,4092.4,
T23,784,1.13,-7.09,4094,
T23,784.7,2.07,-8.76,4094.7,
T23,788.7,4.55,-8.87,4098.7,
T23,789.5,6.43,-9.35,4099.5,
T23,795.1,5.87,-9.42,4105.1,
T23,797.9,2.93,-9.26,4107.9,
T23,800.3,3.28,-9.13,4110.3,
T23,803.1,3.13,-9.39,4113.1,
T23,806.8,2.71,-10.12,4116.8,
T23,808.8,1.97,-9.92,4118.8,
T23,812.4,0.7,-10.38,4122.4,
T23,814.4,2.1,-10.1,4124.4,
T23,818.5,0.88,-7.58,4128.5,
T23,820.6,2.25,-4.48,4130.6,
T23,825,2.36,-9.49,4135,
T23,827.4,1.66,-9.46,4137.4,
T23,828.9,1.34,-6.82,4138.9,
T23,832.3,2.39,-10.18,4142.3,
T23,835.9,0.58,-6.32,4145.9,
T23,837.6,1.96,-7.36,4147.6,
T23,845.3,2.28,-11.54,4155.3,
T23,848.7,2.44,-9.45,4158.7,
T23,852.7,1.31,-9.61,4162.7,
T23,856,0.88,-8.62,4166,
T23,861.1,2.33,-10.93,4171.1,
T23,866.3,0.94,-9.28,4176.3,
T30,1.4,1.79,-7.75,4176.4,mtx
T30,4.2,1.19,-7.94,4179.2,
T23,869.5,2.44,-11.12,4179.5,
T23,872.3,0.32,-8.5,4182.3,
T30,9.6,1.99,-8.7,4184.6,
T23,875.3,0.5,-10.05,4185.3,
T30,11.7,2.73,-7.28,4186.7,
T23,879.7,0.41,-9.82,4189.7,
T23,881.8,0.95,-10.29,4191.8,
T30,16.8,1.98,-8.56,4191.8,
T23,885.9,-0.47,-9.44,4195.9,
T30,21.4,2.74,-9.25,4196.4,
T30,25.6,2.35,-9.76,4200.6,
T23,892.9,0.25,-12.53,4202.9,
T30,30.4,0.56,-8.1,4205.4,mtx
T23,914.6,-0.46,-8.83,4224.6,
T23,915.5,-0.07,-10.68,4225.5,
T23,916.6,0.7,-10.08,4226.6,
T23,917.5,1.01,-10.31,4227.5,
T23,919,0.63,-10.4,4229,
T30,55.2,-2.42,-5.94,4230.2,
T30,56.3,-0.65,-3.21,4231.3,
T30,60.3,-2.71,-8.78,4235.3,mtx
T30,60.8,-3.03,-9.99,4235.8,
T30,85.7,-1.31,-10.08,4260.7,
T30,86.7,-0.54,-10.12,4261.7,mtx
T30,87.3,-0.36,-10.22,4262.3,
T30,88,-0.15,-10.12,4263,
T30,88.7,-1.25,-11.76,4263.7,
T30,89.4,-0.56,-12.03,4264.4,
T30,89.9,-2.16,-10.24,4264.9,
T30,99.9,,,4274.9,base of diamict
