,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,87Sr/86Sr_filtered,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca,age
69,H119-276.9,Coates Lake,258.0,258.0,6.37,-2.35,,,,,,,,,,,,731.5588470776628
70,H119-278.0,Coates Lake,259.1,259.1,6.31,-2.18,,,,,,,,,,,,731.5236188951168
71,H119-279.2,Coates Lake,260.3,260.3,5.94,-3.01,,,,,,,,,,,,731.4851881505211
72,H119-280.4,Coates Lake,261.5,261.5,6.59,-2.15,,,,,,,,,,,,731.4467574059255
73,H119-281.4,Coates Lake,262.5,262.5,6.41,-2.88,0.7066399999999999,,,,,,,,,,,731.4147317854291
74,H119-282.9,Coates Lake,264.0,264.0,6.61,-2.62,,,,,,,,,,,,731.3666933546846
75,H119-284.4,Coates Lake,265.5,265.5,5.99,-4.17,,,,,,,,,,,,731.31865492394
76,H119-285.3,Coates Lake,266.4,266.4,6.18,-5.1,,,,,,,,,,,,731.2898318654933
77,H119-286.6,Coates Lake,267.7,267.7,4.53,-5.44,,,,,,,,,,,,731.248198558848
78,H119-287.9,Coates Lake,269.0,269.0,5.57,-5.86,,,,,,,,,,,,731.2065652522027
79,H119-288.4,Coates Lake,269.5,269.5,5.06,-6.18,,,,,,,,,,,,731.1905524419545
80,H119-289.9,Coates Lake,271.0,271.0,6.43,-5.59,,,,,,,,,,,,731.14251401121
81,H119-290.9,Coates Lake,272.0,272.0,5.22,-6.27,,,,,,,,,,,,731.1104883907136
82,H119-292.4,Coates Lake,273.5,273.5,6.0,-5.61,,,,,,,,,,,,731.0624499599691
83,H119-293.4,Coates Lake,274.5,274.5,4.41,-6.09,,,,,,,,,,,,731.0304243394727
84,H119-294.9,Coates Lake,276.0,276.0,3.78,-7.06,,,,,,,,,,,,730.9823859087281
85,H119-296.9,Coates Lake,278.0,278.0,5.5,-6.16,,,,,,,,,,,,730.9183346677354
86,H119-298.2,Coates Lake,279.3,279.3,5.92,-6.66,,,,,,,,,,,,730.8767013610901
87,H119-299.5,Coates Lake,280.6,280.6,5.13,-6.6,0.7067399999999999,,,,,,,,,,,730.8350680544448
88,H119-300.8,Coates Lake,281.9,281.9,5.29,-8.49,,,,,,,,,,,,730.7934347477996
89,H119-302.4,Coates Lake,283.5,283.5,6.07,-5.18,,,,,,,,,,,,730.7421937550054
90,H119-304.2,Coates Lake,285.3,285.3,5.26,-6.79,,,,,,,,,,,,730.6845476381119
91,H119-305.3,Coates Lake,286.4,286.4,6.52,-6.04,,,,,,,,,,,,730.6493194555659
92,H119-306.7,Coates Lake,287.8,287.8,6.01,-6.27,,,,,,,,,,,,730.604483586871
93,H119-310.1,Coates Lake,291.2,291.2,7.64,-5.9,0.70663,,,,,,,,,,,730.4955964771832
94,H119-314.7,Coates Lake,295.8,295.8,7.69,-5.72,,,,,,,,,,,,730.3482786228998
95,H119-316.1,Coates Lake,297.2,297.2,7.74,-5.78,,,,,,,,,,,,730.3034427542049
96,H119-317.7,Coates Lake,298.8,298.8,7.49,-5.34,,,,,,,,,,,,730.2522017614107
97,H119-319.0,Coates Lake,300.1,300.1,7.95,-5.26,,,,,,,,,,,,730.2105684547654
98,H119-320.5,Coates Lake,301.6,301.6,7.91,-5.3,,,,,,,,,,,,730.1625300240208
99,H119-322.7,Coates Lake,303.8,303.8,8.07,-5.16,0.7066600000000001,,,,,,,,,,,730.0920736589287
100,H119-325.4,Coates Lake,306.5,306.5,6.08,-3.14,,,,,,,,,,,,730.0056044835884
101,H119-326.9,Coates Lake,308.0,308.0,5.06,-4.34,,,,,,,,,,,,729.9575660528438
102,H119-328.4,Coates Lake,309.5,309.5,5.6,-4.69,,,,,,,,,,,,729.9095276220993
103,H119-345.0,Coates Lake,326.1,326.1,1.42,-7.17,,,,,,,,,,,,729.3779023218591
104,H119-346.5,Coates Lake,327.6,327.6,2.8,-9.89,,,,,,,,,,,,729.3298638911145
105,H119-347.3,Coates Lake,328.4,328.4,3.02,-19.12,,,,,,,,,,,,729.3042433947174
106,H119-348.5,Coates Lake,329.6,329.6,4.26,-12.34,,,,,,,,,,,,729.2658126501218
107,H119-350.5,Coates Lake,331.6,331.6,5.14,-16.36,,,,,,,,,,,,729.2017614091291
108,H119-351.3,Coates Lake,332.4,332.4,4.5,-15.55,,,,,,,,,,,,729.176140912732
109,H119-352.4,Coates Lake,333.5,333.5,5.2,-17.08,,,,,,,,,,,,729.140912730186
110,H119-352.8,Coates Lake,333.9,333.9,3.29,-15.74,,,,,,,,,,,,729.1281024819874
111,H119-354.3,Coates Lake,335.4,335.4,2.71,-14.1,,,,,,,,,,,,729.0800640512429
112,H119-355.0,Coates Lake,336.1,336.1,3.69,-14.27,,,,,,,,,,,,729.0576461168954
113,H119-355.5,Coates Lake,336.6,336.6,3.7,-14.61,,,,,,,,,,,,729.0416333066472
114,H119-356.0,Coates Lake,337.1,337.1,4.29,-12.82,,,,,,,,,,,,729.025620496399
115,H119-356.2,Coates Lake,337.3,337.3,4.5,-12.75,,,,,,,,,,,,729.0192153722998
116,H119-356.5,Coates Lake,337.6,337.6,4.54,-12.5,,,,,,,,,,,,729.0096076861508
117,H119-356.7,Coates Lake,337.8,337.8,4.63,-12.61,,,,,,,,,,,,729.0032025620516
118,H119-356.8,Coates Lake,337.9,337.9,3.73,-12.68,,,,,,,,,,,,729
