,section,strat_height,d13C,d18O,strat_m,note,age
431,T7,211.3,,,1101.3,mts,780.9439418521641
432,T3,453.3,5.54,-7.62,1103.3,mtx,780.9099357518331
433,T3,455.0,5.61,-8.22,1105.0,mtx,780.8810305665518
434,T3,457.1,5.78,-7.93,1107.1,mtx,780.8453241612043
435,T3,458.8,5.89,-8.77,1108.8,mtx,780.8164189759229
436,T3,460.8,5.6,-9.02,1110.8,mtx,780.782412875592
437,T3,462.8,5.51,-8.96,1112.8,mtx,780.748406775261
438,T7,225.0,5.227,-9.039,1115.0,,780.7110000648969
439,T3,466.7,5.47,-8.66,1116.7,mtx,780.6820948796155
440,T7,229.7,5.56,-10.32,1119.7,,780.631085729119
441,T3,470.0,5.78,-8.47,1120.0,mtx,780.6259848140694
442,T3,470.5,4.09,-5.69,1120.5,mtx,780.6174832889867
443,T3,470.5,4.09,-5.69,1120.5,mts,780.6174832889867
444,T3,471.2,5.15,-7.53,1121.2,mtx,780.6055811538708
445,T3,474.9,5.69,-6.33,1124.9,mtx,780.5426698682585
446,T3,477.5,5.02,-6.91,1127.5,mtx,780.4984619378282
447,T3,478.5,5.61,-7.13,1128.5,mtx,780.4814588876627
448,T3,482.2,4.8,-6.76,1132.2,mtx,780.4185476020504
449,T3,484.4,5.88,-7.09,1134.4,mtx,780.3811408916863
450,T7,245.7,3.4810000000000003,-7.982,1135.7,mts,780.3590369264712
451,T7,245.7,5.83,-8.367,1135.7,,780.3590369264712
452,T3,486.2,5.66,-6.37,1136.2,mtx,780.3505354013885
453,T7,246.3,5.88,-8.86,1136.3,,780.3488350963719
454,T3,489.6,5.57,-6.68,1139.6,mtx,780.2927250308257
455,T3,490.3,5.81,-4.85,1140.3,mtx,780.2808228957099
456,T3,490.3,5.81,-4.85,1140.3,mts,780.2808228957099
457,T3,490.5,5.96,-6.29,1140.5,mtx,780.2774222856768
458,T3,493.0,5.66,-6.67,1143.0,mtx,780.2349146602631
459,T7,253.9,5.62,-8.64,1143.9,,780.2196119151142
460,T7,257.7,5.337999999999999,-7.867999999999999,1147.7,,780.1550003244854
461,T3,499.8,5.66,-6.96,1149.8,mtx,780.1192939191379
462,T7,259.9,5.64,-7.85,1149.9,,780.1175936141213
463,T7,260.3,4.7860000000000005,-8.625,1150.3,,780.1107923940551
464,T7,261.1,4.998,-8.432,1151.1,,780.0971899539227
465,T3,503.0,4.64,-6.65,1153.0,mtx,780.0648841586083
466,T7,264.4,5.511,-9.48,1154.4,,780.0410798883765
467,T3,505.4,5.48,-7.53,1155.4,mtx,780.024076838211
468,T7,268.0,5.77,-9.54,1158.0,,779.9798689077808
469,T7,269.7,5.7989999999999995,-9.386000000000001,1159.7,,779.9509637224994
470,T3,510.8,5.61,-7.03,1160.8,mtx,779.9322603673173
471,T3,511.8,5.76,-7.58,1161.8,mtx,779.9152573171518
472,T7,273.6,5.379,-8.591000000000001,1163.6,,779.884651826854
473,T3,515.2,5.98,-7.52,1165.2,mtx,779.8574469465892
474,T7,279.6,4.925,-9.199,1169.6,,779.7826335258611
475,T3,519.7,5.48,-7.86,1169.7,mtx,779.7809332208445
476,T3,521.0,5.57,-7.34,1171.0,mtx,779.7588292556294
477,T7,281.3,3.87,-9.275,1171.3,,779.7537283405798
478,T7,281.3,4.84,-5.336,1171.3,mts,779.7537283405798
479,T7,284.6,5.8020000000000005,-8.339,1174.6,,779.6976182750336
480,T3,526.3,5.45,-6.99,1176.3,mtx,779.6687130897523
481,T7,287.7,5.697,-7.449,1177.7,,779.6449088195205
482,T7,287.7,6.047000000000001,-6.377999999999999,1177.7,mts,779.6449088195205
483,T3,527.8,5.37,-7.26,1177.8,mtx,779.643208514504
484,T7,293.4,5.444,-6.682,1183.4,,779.5479914335772
485,T7,293.4,5.709,-7.375,1183.4,mts,779.5479914335772
486,T3,536.0,6.13,-6.56,1186.0,mtx,779.5037835031469
487,T7,298.2,5.461,-7.71,1188.2,,779.4663767927829
488,T3,542.3,5.17,-6.54,1192.3,mtx,779.3966642871044
489,T7,305.7,4.997,-10.027000000000001,1195.7,,779.3388539165418
490,T7,308.0,5.053,-11.434000000000001,1198.0,,779.2997469011611
491,T3,549.1,6.08,-6.92,1199.1,mtx,779.2810435459791
492,T3,552.0,11.78,-7.83,1202.0,mtx,779.2317347004991
493,T3,552.0,,,1202.0,mts,779.2317347004991
494,T7,312.6,5.765,-10.021,1202.6,,779.2215328703999
495,T7,316.3,,,1206.3,mts,779.1586215847875
496,T7,316.3,5.2,-9.96,1206.3,mtx,779.1586215847875
497,T3,557.2,5.68,-7.13,1207.2,mtx,779.1433188396386
498,T7,321.7,5.542000000000001,-10.044,1211.7,,779.0668051138939
499,T3,561.8,5.88,-7.37,1211.8,mtx,779.0651048088773
500,T3,563.3,6.23,-6.71,1213.3,mtx,779.0396002336291
501,T3,563.3,6.23,-6.71,1213.3,mts,779.0396002336291
502,T7,324.1,4.918,-11.013,1214.1,,779.0259977934967
503,T7,324.1,5.903,-10.532,1214.1,mts,779.0259977934967
504,T3,564.2,5.71,-7.12,1214.2,mtx,779.0242974884801
505,T7,328.0,5.751,-10.757,1218.0,,778.9596858978513
506,T3,569.3,5.59,-7.09,1219.3,mtx,778.9375819326361
507,T3,572.0,5.89,-7.28,1222.0,mtx,778.8916736971893
508,T7,333.4,4.957,-11.105,1223.4,,778.8678694269576
509,T3,574.1,5.3,-6.97,1224.1,mtx,778.8559672918417
510,T7,338.6,5.149,-10.873,1228.6,,778.779453566097
511,T3,578.8,5.92,-7.53,1228.8,mtx,778.776052956064
512,T3,579.8,5.91,-6.74,1229.8,mtx,778.7590499058985
513,T3,580.8,5.69,-8.07,1230.8,mtx,778.742046855733
514,T7,342.3,5.513,-6.557,1232.3,,778.7165422804848
515,T3,584.3,5.35,-7.19,1234.3,mtx,778.6825361801538
516,T3,589.8,5.86,-6.0,1239.8,mtx,778.5890194042436
517,T3,589.8,5.83,-6.56,1239.8,mtx,778.5890194042436
518,T3,589.8,5.86,-6.0,1239.8,mts,778.5890194042436
519,T7,353.0,5.275,-7.96,1243.0,,778.534609643714
520,T3,593.9,5.92,-6.66,1243.9,mtx,778.5193068985651
521,T7,358.0,5.195,-7.4079999999999995,1248.0,,778.4495943928866
522,T3,598.6,5.78,-7.42,1248.6,mtx,778.4393925627874
523,T3,602.4,5.62,-6.42,1252.4,mtx,778.3747809721585
524,T3,602.5,5.78,-3.95,1252.5,mtx,778.373080667142
525,T3,602.5,,,1252.5,mts,778.373080667142
526,T7,362.6,5.521,-8.946,1252.6,,778.3713803621254
527,T7,364.5,5.143,-11.888,1254.5,,778.339074566811
528,T3,605.3,6.02,-6.77,1255.3,mtx,778.3254721266785
529,T7,365.9,5.532,-6.972,1255.9,,778.3152702965792
530,T7,368.5,5.349,-6.437,1258.5,,778.271062366149
531,T7,372.8,5.156000000000001,-9.015,1262.8,,778.1979492504373
532,T3,615.6,5.46,-8.12,1265.6,mtx,778.150340709974
533,T3,616.6,5.47,-6.41,1266.6,mtx,778.1333376598085
534,T3,618.7,5.34,-7.3,1268.7,mtx,778.0976312544609
535,T7,382.8,4.056,-12.341,1272.8,,778.0279187487824
536,T7,388.1,5.127000000000001,-7.906000000000001,1278.1,,777.9378025829053
537,T7,397.8,4.961,-5.545,1287.8,,777.7728729963001
538,T7,402.5,4.138,-7.65,1292.5,,777.6929586605223
539,T3,645.1,5.19,-4.56,1295.1,mtx,777.648750730092
540,T7,413.0,4.386,-5.6339999999999995,1303.0,,777.5144266337846
541,T7,418.6,3.9389999999999996,-6.6770000000000005,1308.6,,777.4192095528579
542,T7,422.8,4.244,-8.432,1312.8,,777.3477967421628
543,T7,424.0,4.005,-6.936,1314.0,,777.3273930819643
544,T7,429.0,4.652,-9.302,1319.0,,777.2423778311369
545,T7,432.0,5.041,-7.811,1322.0,,777.1913686806404
546,T7,436.7,4.603,-8.092,1326.7,,777.1114543448626
547,T3,677.6,5.66,-6.07,1327.6,mtx,777.0961515997137
548,T3,678.4,5.25,-5.47,1328.4,mtx,777.0825491595813
549,T3,678.4,5.25,-5.47,1328.4,mts,777.0825491595813
550,T3,679.9,5.45,-6.08,1329.9,mtx,777.0570445843331
551,T7,440.5,3.6839999999999997,-7.553,1330.5,,777.0468427542338
552,T7,440.5,5.132999999999999,-8.856,1330.5,mts,777.0468427542338
553,T3,682.2,5.27,-5.27,1332.2,mtx,777.0179375689524
554,T3,685.8,4.64,-4.72,1335.8,mtx,776.9567265883567
555,T7,449.2,4.843,-7.485,1339.2,,776.8989162177941
556,T7,452.6,4.748,-6.41,1342.6,,776.8411058472315
557,T7,458.1,5.372000000000001,-4.6339999999999995,1348.1,,776.7475890713213
558,T3,702.1,5.08,-6.21,1352.1,mtx,776.6795768706593
559,T7,465.2,5.327999999999999,-5.867000000000001,1355.2,,776.6268674151463
560,T7,465.2,5.773,-5.126,1355.2,mts,776.6268674151463
561,T7,470.0,5.126,-4.434,1360.0,,776.545252774352
562,T3,711.6,5.09,-6.1,1361.6,mtx,776.5180478940872
563,T7,472.9,5.432,-3.9160000000000004,1362.9,,776.4959439288721
564,T7,475.4,5.313,-4.556,1365.4,,776.4534363034584
565,T3,717.2,4.62,-5.71,1367.2,mtx,776.4228308131605
566,T7,478.2,4.471,-4.302,1368.2,,776.405827762995
567,T7,482.1,4.987,-4.655,1372.1,,776.3395158673496
568,T3,725.2,5.21,-5.75,1375.2,mtx,776.2868064118367
569,T7,488.4,4.5,-4.027,1378.4,mtx,776.2323966513071
570,T7,488.4,,,1378.4,mts,776.2323966513071
571,T7,488.5,4.75,-4.86,1378.5,,776.2306963462905
572,T3,732.2,5.51,-5.82,1382.2,mtx,776.1677850606782
573,T7,492.9,4.747,-4.626,1382.9,,776.1558829255623
574,T3,736.4,4.99,-5.88,1386.4,mtx,776.0963722499831
575,T7,501.8,4.771,-4.75,1391.8,,776.0045557790895
576,T3,746.2,5.09,-5.56,1396.2,mtx,775.9297423583614
577,T3,753.3,5.23,-5.72,1403.3,mtx,775.8090207021864
578,T7,514.8,4.725,-5.585,1404.8,,775.7835161269383
579,T3,759.0,4.98,-6.38,1409.0,mtx,775.7121033162432
580,T7,559.4,4.302,-5.233,1449.4,,775.0251800895575
581,T7,582.7,1.042,-3.3089999999999997,1472.7,,774.6290090207016
582,T7,593.8,2.414,-1.889,1483.8,,774.4402751638646
583,T7,607.7,1.45,-9.26,1497.7,,774.2039327665643
584,T7,608.1,,,1498.1,mtx,774.1971315464981
585,T7,608.1,,,1498.1,mts,774.1971315464981
586,T7,643.3,0.885,-1.157,1533.3,,773.5986241806729
587,T7,684.0,2.47,-0.746,1574.0,,772.9066000389375
588,T7,710.3,2.155,-2.033,1600.3,,772.4594198195853
589,T7,734.4,2.617,-1.65,1624.4,,772.049646310597
590,T7,826.3,1.8659999999999999,-2.888,1716.3,,770.4870660003887
591,T7,863.1,2.815,-11.38,1753.1,,769.8613537542988
592,T7,864.5,2.449,-10.722999999999999,1754.5,,769.837549484067
593,T7,873.3,3.576,-13.39,1763.3,,769.6879226426107
594,T7,878.3,0.015,-12.048,1768.3,,769.6029073917833
595,T7,884.4,3.2760000000000002,-11.290999999999999,1774.4,,769.4991887857739
596,T7,887.5,3.694,-11.784,1777.5,,769.4464793302609
597,T7,894.2,4.006,-12.307,1784.2,,769.3325588941522
598,T7,899.5,3.47,-10.492,1789.5,,769.242442728275
599,T22,529.8,2.25,-3.87,2609.8,,755.2948406775255
600,T22,531.1,2.06,-3.69,2611.1,,755.2727367123103
601,T22,532.5,2.17,-3.71,2612.5,,755.2489324420786
602,T22,562.1,2.21,-2.93,2642.1,,754.7456421571802
603,T22,563.5,2.47,-3.58,2643.5,,754.7218378869485
604,T22,566.0,3.11,-5.99,2646.0,,754.6793302615348
605,T22,569.1,3.18,-5.79,2649.1,,754.6266208060218
606,T22,578.1,4.67,-4.62,2658.1,,754.4735933545325
607,T22,580.3,3.2,-3.66,2660.3,,754.4361866441684
608,T22,583.1,3.82,-3.17,2663.1,,754.3885781037051
609,T22,583.8,3.2,-3.66,2663.8,,754.3766759685892
610,T22,591.3,1.97,-3.63,2671.3,,754.249153092348
611,T22,592.5,1.39,-4.06,2672.5,,754.2287494321495
612,T22,595.3,1.37,-8.78,2675.3,,754.1811408916861
613,T22,595.7,1.46,-7.43,2675.7,,754.1743396716199
614,T22,602.0,1.37,-7.41,2682.0,,754.0672204555774
615,T22,602.7,2.97,-3.36,2682.7,,754.0553183204615
616,T22,608.7,1.67,-6.55,2688.7,,753.9533000194687
617,T22,609.5,1.69,-6.54,2689.5,,753.9396975793362
618,T22,613.5,1.83,-6.57,2693.5,,753.8716853786742
619,T22,615.6,2.65,-6.22,2695.6,,753.8359789733267
620,T22,618.1,2.34,-4.13,2698.1,,753.793471347913
621,T22,619.3,2.87,-1.04,2699.3,,753.7730676877145
622,T22,621.6,2.58,-1.18,2701.6,,753.7339606723339
623,T22,622.9,2.73,-1.84,2702.9,,753.7118567071187
624,T22,625.1,2.56,-2.55,2705.1,,753.6744499967547
625,T22,626.6,2.59,-3.4,2706.6,,753.6489454215065
626,T22,643.7,,,2723.7,,753.3581932636766
627,T22,653.5,,,2733.5,,753.1915633720548
628,T22,656.5,,,2736.5,,753.1405542215583
629,T22,669.3,,,2749.3,,752.9229151794401
630,T22,672.3,0.44,-4.13,2752.3,,752.8719060289436
631,T22,674.8,0.54,-4.46,2754.8,,752.8293984035299
632,T22,678.2,1.2,-4.04,2758.2,,752.7715880329673
633,T22,682.7,0.51,-4.19,2762.7,,752.6950743072226
634,T22,685.0,1.63,-4.15,2765.0,,752.655967291842
635,T22,687.5,1.89,-3.86,2767.5,,752.6134596664283
636,T22,690.6,,,2770.6,,752.5607502109153
637,T22,695.2,0.95,-4.14,2775.2,,752.482536180154
638,T22,700.3,,,2780.3,,752.3958206243101
639,T22,702.3,,,2782.3,,752.3618145239791
640,T22,709.2,,,2789.2,,752.2444934778372
641,T22,710.2,1.88,-3.67,2790.2,,752.2274904276717
642,T22,712.4,,,2792.4,,752.1900837173076
643,T22,715.5,1.14,-3.93,2795.5,,752.1373742617947
644,T22,718.5,1.12,-5.18,2798.5,,752.0863651112982
645,T22,721.1,0.73,-5.74,2801.1,,752.0421571808679
646,T22,723.2,0.77,-4.24,2803.2,,752.0064507755204
647,T22,727.4,,,2807.4,,751.9350379648254
648,T22,728.2,,,2808.2,,751.921435524693
649,T22,730.1,1.81,-3.73,2810.1,,751.8891297293786
650,T22,732.8,,,2812.8,,751.8432214939318
651,T22,735.0,2.07,-3.23,2815.0,,751.8058147835677
652,T22,737.7,1.25,-3.96,2817.7,,751.7599065481209
653,T22,743.6,,,2823.6,,751.6595885521444
654,T22,745.6,1.88,-3.28,2825.6,,751.6255824518134
655,T22,747.4,,,2827.4,,751.5949769615156
656,T22,749.2,,,2829.2,,751.5643714712178
657,T22,751.6,,,2831.6,,751.5235641508206
658,T22,756.7,2.18,-2.11,2836.7,,751.4368485949766
659,T22,757.3,,,2837.3,,751.4266467648773
660,T22,760.4,2.24,-4.19,2840.4,,751.3739373093644
661,T22,765.6,1.4,-3.11,2845.6,,751.2855214485038
662,T22,768.6,1.47,-3.78,2848.6,,751.2345122980073
663,T22,770.5,,,2850.5,,751.2022065026929
664,T22,773.3,1.27,-2.67,2853.3,,751.1545979622296
665,T22,774.3,1.61,-3.41,2854.3,,751.1375949120641
666,T22,775.9,1.78,-2.3,2855.9,,751.1103900317993
667,T22,777.9,1.79,-2.85,2857.9,,751.0763839314683
668,T22,779.2,2.42,-3.33,2859.2,,751.0542799662531
669,T22,781.6,2.66,-4.07,2861.6,,751.0134726458559
670,T22,783.8,,,2863.8,,750.9760659354919
671,T22,786.7,3.02,-4.63,2866.7,,750.926757090012
672,T22,793.8,1.34,-2.58,2873.8,,750.806035433837
673,T22,795.3,1.77,-2.18,2875.3,,750.7805308585888
674,T22,798.4,0.98,-4.66,2878.4,,750.7278214030758
675,T22,799.6,0.63,-5.07,2879.6,,750.7074177428773
676,T22,811.9,-0.08,-5.5,2891.9,,750.4982802258418
677,T22,813.8,0.12,-5.1,2893.8,,750.4659744305274
678,T22,816.7,-0.44,-4.97,2896.7,,750.4166655850474
679,T22,819.0,-0.76,-5.48,2899.0,,750.3775585696668
680,T22,821.8,0.06,-6.87,2901.8,,750.3299500292035
681,T22,822.8,,,2902.8,,750.312946979038
682,T22,824.8,0.46,-4.52,2904.8,,750.278940878707
683,T22,856.9,0.26,-4.98,2936.9,,749.7331429683949
684,T22,932.5,,,3012.5,,748.447712375884
685,T22,934.5,0.43,-4.41,3014.5,,748.413706275553
686,T22,936.5,,,3016.5,,748.379700175222
687,T22,939.0,0.64,-4.04,3019.0,,748.3371925498083
688,T22,953.3,-0.09,-5.91,3033.3,,748.0940489324418
689,T22,987.9,3.05,-3.67,3067.9,,747.5057433967158
690,T22,999.8,3.17,-2.39,3079.8,,747.3034070997466
691,T22,1001.8,,,3081.8,,747.2694009994156
692,T22,1002.8,1.67,-4.41,3082.8,,747.25239794925
693,T22,1004.3,0.54,-3.6,3084.3,,747.2268933740019
694,T22,1005.2,1.35,-3.78,3085.2,,747.211590628853
695,T22,1007.8,-0.08,-3.96,3087.8,,747.1673826984227
696,T22,1010.0,0.35,-6.12,3090.0,,747.1299759880586
697,T22,1011.4,-2.38,-7.49,3091.4,,747.1061717178269
698,T22,1021.0,-2.39,-5.88,3101.0,,746.9429424362382
699,T22,1063.8,-2.55,-5.83,3143.8,,746.2152118891554
700,T22,1072.3,-2.48,-7.02,3152.3,,746.0706859627487
701,T22,1084.4,-2.32,-5.36,3164.4,,745.8649490557464
702,T22,1087.3,-2.13,-6.84,3167.3,,745.8156402102665
703,T22,1088.5,-2.09,-4.27,3168.5,,745.7952365500679
704,T22,1089.5,-1.46,-4.93,3169.5,,745.7782334999024
705,T22,1090.5,-2.01,-6.56,3170.5,,745.7612304497369
706,T22,1096.3,-1.26,-5.77,3176.3,,745.6626127587771
707,T22,1097.1,-1.54,-5.3,3177.1,,745.6490103186447
708,T22,1101.7,-1.82,-5.89,3181.7,,745.5707962878835
709,T22,1102.6,-1.28,-1.45,3182.6,,745.5554935427346
710,T22,1103.9,-1.57,-5.14,3183.9,,745.5333895775194
711,T22,1106.7,-1.75,-4.24,3186.7,,745.4857810370561
712,T22,1108.1,-1.83,-4.36,3188.1,,745.4619767668244
713,T22,1109.0,,,3189.0,,745.4466740216754
714,T22,1112.7,-1.63,-6.21,3192.7,,745.3837627360632
715,T22,1115.8,-1.02,-6.54,3195.8,,745.3310532805502
716,T22,1119.5,0.34,-4.4,3199.5,,745.268141994938
717,T22,1123.1,0.5,-4.75,3203.1,,745.2069310143422
718,T22,1125.8,2.03,-3.58,3205.8,,745.1610227788954
719,T22,1129.1,2.33,-3.97,3209.1,,745.1049127133492
720,T22,1132.6,1.96,-4.96,3212.6,,745.04540203777
721,T22,1134.8,2.06,-2.71,3214.8,,745.007995327406
722,T22,1137.1,,,3217.1,,744.9688883120253
723,T22,1140.7,2.92,-3.89,3220.7,,744.9076773314296
724,T22,1142.3,2.86,-4.37,3222.3,,744.8804724511648
725,T22,1145.6,1.76,-4.03,3225.6,,744.8243623856187
726,T22,1147.0,2.15,-3.47,3227.0,,744.8005581153869
727,T22,1150.1,,,3230.1,,744.747848659874
728,T22,1155.8,,,3235.8,,744.6509312739307
729,T22,1158.9,2.9,-3.57,3238.9,,744.5982218184178
730,T22,1159.6,,,3239.6,,744.5863196833019
731,T22,1161.7,2.52,-4.2,3241.7,,744.5506132779544
732,T22,1176.7,1.38,-3.73,3256.7,,744.2955675254722
733,T22,1179.7,,,3259.7,,744.2445583749757
734,T22,1182.6,,,3262.6,,744.1952495294958
735,T22,1184.2,1.74,-3.05,3264.2,,744.168044649231
736,T22,1185.7,,,3265.7,,744.1425400739828
737,T22,1187.0,,,3267.0,,744.1204361087676
738,T22,1188.1,3.19,-3.55,3268.1,,744.1017327535856
739,T22,1189.0,,,3269.0,,744.0864300084367
740,T22,1193.7,,,3273.7,,744.0065156726589
741,T22,1197.8,3.03,-3.03,3277.8,,743.9368031669804
742,T22,1200.1,,,3280.1,,743.8976961515998
743,T22,1203.5,,,3283.5,,743.8398857810372
744,T22,1205.3,2.52,-3.36,3285.3,,743.8092802907394
745,T22,1206.7,,,3286.7,,743.7854760205076
746,T22,1212.3,,,3292.3,,743.6902589395809
747,T22,1214.2,,,3294.2,,743.6579531442665
748,T22,1221.3,2.21,-5.39,3301.3,,743.5372314880915
749,T22,1227.6,,,3307.6,,743.430112272049
750,T23,0.3,2.47,-4.74,3310.3,,743.3842040366021
751,T23,4.3,1.8,-5.94,3314.3,,743.3161918359401
752,T23,6.2,1.33,-5.58,3316.2,,743.2838860406257
753,T23,9.0,2.41,-8.51,3319.0,,743.2362775001624
754,T23,12.9,2.19,-6.65,3322.9,,743.169965604517
755,T22,1245.0,,,3325.0,,743.1342591991695
756,T23,15.8,2.19,-4.11,3325.8,,743.120656759037
757,T22,1246.8,2.87,-3.37,3326.8,,743.1036537088715
758,T23,18.8,2.77,-4.35,3328.8,,743.0696476085405
759,T22,1251.0,,,3331.0,,743.0322408981765
760,T22,1253.7,,,3333.7,,742.9863326627296
761,T23,25.1,1.58,-4.97,3335.1,,742.9625283924979
762,T22,1257.7,2.41,-3.32,3337.7,,742.9183204620676
763,T23,30.2,1.27,-4.66,3340.2,,742.875812836654
764,T22,1261.6,,,3341.6,,742.8520085664222
765,T23,31.7,1.56,-4.32,3341.7,,742.8503082614056
766,T22,1262.8,,,3342.8,,742.8316049062236
767,T22,1264.3,,,3344.3,,742.8061003309754
768,T23,34.7,1.57,-4.85,3344.7,,742.7992991109091
769,T23,37.8,1.74,-4.15,3347.8,,742.7465896553962
770,T23,39.7,1.59,-4.22,3349.7,,742.7142838600818
771,T23,43.4,2.2,-4.18,3353.4,,742.6513725744694
772,T23,44.5,2.04,-3.79,3354.5,,742.6326692192873
773,T23,47.3,1.6,-3.57,3357.3,,742.585060678824
774,T23,49.5,2.29,-7.89,3359.5,,742.5476539684599
775,T23,51.5,2.0,-7.15,3361.5,,742.5136478681289
776,T23,53.3,1.55,-5.32,3363.3,,742.4830423778311
777,T23,54.4,1.81,-5.23,3364.4,,742.464339022649
778,T22,1288.6,2.31,-3.33,3368.6,,742.392926211954
779,T23,60.1,0.55,-2.7,3370.1,,742.3674216367058
780,T22,1291.9,,,3371.9,,742.336816146408
781,T23,62.2,1.97,-4.56,3372.2,,742.3317152313583
782,T22,1295.3,,,3375.3,,742.2790057758453
783,T23,72.0,2.6,-2.7,3382.0,,742.1650853397366
784,T22,1303.6,2.06,-4.07,3383.6,,742.1378804594718
785,T22,1304.7,,,3384.7,,742.1191771042897
786,T23,75.5,2.0,-3.33,3385.5,,742.1055746641573
787,T23,77.5,2.86,-3.41,3387.5,,742.0715685638263
788,T23,79.7,1.41,-4.03,3389.7,,742.0341618534623
789,T23,81.7,2.22,-4.13,3391.7,,742.0001557531313
790,T23,82.9,2.6,-10.29,3392.9,,741.9797520929327
791,T22,1313.7,,,3393.7,,741.9661496528004
792,T22,1315.8,1.91,-2.62,3395.8,,741.9304432474528
793,T22,1319.5,,,3399.5,,741.8675319618405
794,T22,1320.9,,,3400.9,,741.8437276916088
795,T22,1321.5,1.7,-2.26,3401.5,,741.8335258615095
796,T22,1324.4,,,3404.4,,741.7842170160296
797,T22,1329.0,,,3409.0,,741.7060029852684
798,T23,99.4,3.28,-5.52,3409.4,,741.6992017652021
799,T22,1332.7,2.48,-4.1,3412.7,,741.643091699656
800,T23,105.9,2.25,-6.34,3415.9,,741.5886819391264
801,T22,1336.1,,,3416.1,,741.5852813290934
802,T22,1338.7,,,3418.7,,741.5410733986631
803,T22,1340.3,2.11,-3.8,3420.3,,741.5138685183983
804,T22,1342.1,,,3422.1,,741.4832630281005
805,T23,112.9,2.64,-4.7,3422.9,,741.4696605879681
806,T23,116.7,1.87,-7.27,3426.7,,741.4050489973392
807,T22,1348.2,,,3428.2,,741.379544422091
808,T23,119.2,2.58,-8.77,3429.2,,741.3625413719255
809,T22,1350.1,2.48,-4.32,3430.1,,741.3472386267766
810,T22,1353.1,,,3433.1,,741.2962294762801
811,T23,123.4,2.54,-5.2,3433.4,,741.2911285612305
812,T22,1354.2,,,3434.2,,741.2775261210982
813,T23,125.5,2.89,-5.86,3435.5,,741.255422155883
814,T22,1358.2,2.95,-4.68,3438.2,,741.2095139204362
815,T22,1361.1,,,3441.1,,741.1602050749563
816,T22,1364.6,,,3444.6,,741.1006943993771
817,T22,1365.9,2.61,-3.98,3445.9,,741.0785904341619
818,T22,1371.2,,,3451.2,,740.9884742682848
819,T23,142.5,2.22,-5.41,3452.5,,740.9663703030697
820,T23,144.9,2.74,-5.75,3454.9,,740.9255629826724
821,T22,1375.0,,,3455.0,,740.9238626776558
822,T23,152.2,2.53,-4.72,3462.2,,740.8014407164643
823,T22,1382.4,2.73,-9.27,3462.4,,740.7980401064312
824,T22,1388.9,,,3468.9,,740.6875202803556
825,T23,159.3,1.97,-4.58,3469.3,,740.6807190602893
826,T22,1390.3,,,3470.3,,740.6637160101238
827,T23,166.4,2.3,-8.6,3476.4,,740.5599974041144
828,T22,1397.6,2.52,-3.04,3477.6,,740.5395937439158
829,T23,168.7,2.34,-5.34,3478.7,,740.5208903887337
830,T22,1401.7,,,3481.7,,740.4698812382372
831,T23,171.8,2.66,-7.03,3481.8,,740.4681809332207
832,T22,1407.6,,,3487.6,,740.3695632422608
833,T22,1409.3,,,3489.3,,740.3406580569795
834,T22,1412.8,,,3492.8,,740.2811473814003
835,T22,1418.0,,,3498.0,,740.1927315205397
836,T23,191.5,2.42,-6.49,3501.5,,740.1332208449605
837,T22,1421.7,,,3501.7,,740.1298202349275
838,T23,194.3,2.15,-9.22,3504.3,,740.0856123044972
839,T22,1424.6,,,3504.6,,740.0805113894476
840,T22,1425.7,,,3505.7,,740.0618080342655
841,T22,1427.9,,,3507.9,,740.0244013239014
842,T23,199.5,3.08,-10.56,3509.5,,739.9971964436367
843,T22,1429.9,,,3509.9,,739.9903952235704
844,T22,1431.2,,,3511.2,,739.9682912583553
845,T22,1432.3,,,3512.3,,739.9495879031732
846,T23,203.0,2.88,-10.3,3513.0,,739.9376857680573
847,T22,1434.5,,,3514.5,,739.9121811928092
848,T22,1435.9,,,3515.9,,739.8883769225774
849,T22,1437.9,,,3517.9,,739.8543708222464
850,T23,209.5,3.14,-10.36,3519.5,,739.8271659419817
851,T22,1440.4,,,3520.4,,739.8118631968327
852,T23,212.1,2.75,-5.22,3522.1,,739.7829580115514
853,T23,215.6,3.33,-9.54,3525.6,,739.7234473359722
854,T23,220.4,2.8,-10.52,3530.4,,739.6418326951779
855,T23,222.2,2.92,-11.11,3532.2,,739.61122720488
856,T23,230.6,2.62,-10.07,3540.6,,739.4684015834899
857,T23,233.4,2.44,-10.35,3543.4,,739.4207930430266
858,T23,237.3,2.33,-9.23,3547.3,,739.3544811473812
859,T23,242.3,2.56,-6.06,3552.3,,739.2694658965538
860,T23,244.8,2.3,-6.26,3554.8,,739.2269582711401
861,T23,248.6,3.22,-5.66,3558.6,,739.1623466805113
862,T23,250.3,3.63,-6.62,3560.3,,739.1334414952299
863,T22,1486.3,,,3566.3,,739.031423194237
864,T22,1489.0,2.73,-5.31,3569.0,,738.9855149587902
865,T22,1497.1,,,3577.1,,738.8477902524497
866,T23,268.9,3.39,-5.94,3578.9,,738.8171847621519
867,T23,273.2,3.28,-5.7,3583.2,,738.7440716464403
868,T23,275.3,2.98,-4.95,3585.3,,738.7083652410927
869,T23,280.6,2.55,-5.24,3590.6,,738.6182490752155
870,T23,282.9,2.84,-5.31,3592.9,,738.5791420598349
871,T22,1514.4,,,3594.4,,738.5536374845867
